cluster_id,confidence,Id,source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county
66,0.951542,278,IRMA,491,Ed Fraser Memorial Hospital,,,,9042596111,,,,,,30.2850541,-82.1189973,"159 North 3rd Street, Macclenny, FL 32063, United States",Macclenny,Florida,32063,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
34,0.42819078763326013,279,IRMA,535,Edgewater High School,,,,4078369140,,,,,,28.5810376,-81.391491,"3100 Edgewater Dr, Orlando, FL 32804, USA",Orlando,,32804,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
18,0.97350609302520752,283,IRMA,545,Emmanuel Baptist Church,,,,badphone,,,,,,31.3109501,-82.2431803,"217 W Carter Ave, Blackshear, GA 31516, USA",Blackshear,,31516,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
14,0.33794430891672766,285,IRMA,152,English Estates Elementary,,,,4076655102,,,,,,28.6487328,-81.3427344,299 Oxford Rd,Fern Park,,32730,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
24,0.39971888065338135,286,IRMA,420,Enterprise Elementary,,,,9046302489,,,,,,30.199991,-81.820735,8085 Old Middleburg Rd,Jacksonville,,32222,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
28,0.40717577934265137,288,IRMA,449,Eugenia B. Thomas K-8 Center,,,,3054685900,,,,,,25.827487,-80.382975,"5950 Northwest 114th Avenue, Doral, FL, United States",Doral,Florida,33178,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
7,0.42658890783786774,289,IRMA,1042,Eustis High School,,,,3522539999,,,,,,28.8461411,-81.6724178,"1300 E Washington Ave, Eustis, FL 32726, USA",Eustis,,32726,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
58,0.97687810659408569,300,IRMA,209,Fasano Regional Hurricane Shelter,,,,7278472411,,,,,,28.3904806,-82.6247109,"11611 Denton Ave, Hudson, FL 34667, USA",Hudson,,34667,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
38,0.971898,305,IRMA,984,First African Missionary Baptist Church,,,,badphone,,,,,,32.1670487,-81.9103978,"128 Church St, Claxton, GA 30417, USA",Claxton,,30417,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
47,0.980384,323,IRMA,1218,First Christian Church / New Day Christian Church - Special Needs,,,,badphone,,,,,,27.0188004,-82.117427,"20212 Peachland Blvd, Port Charlotte, FL 33954, USA",Port Charlotte,,33954,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
58,0.97687810659408569,332,IRMA,480,Fivay High School,,,,7278472411,,,,,,28.3339074,-82.660135,"12115 Chicago Ave, Hudson, FL, United States",Hudson,Florida,34667,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
56,0.47118010371923447,334,IRMA,257,Floresta Elementary School,,,,7724604357,,,,,,27.294823,-80.3252901,"1501 Southeast Floresta Drive, Port St. Lucie, FL, United States",Port St. Lucie,Florida,34983,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
19,0.532228,335,IRMA,234,Florida Gulf Coast University Alico Arena,,,,2395907145,,,,,,26.4710622,-81.7668546,"10501 FGCU Blvd S Fort Myers, FL 33965",Fort Myers,,33965,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
73,0.38381249904632564,337,IRMA,477,Florida High School (special needs shelter),,,,8506063700,,,,,,30.38431,-84.222579,3000 School House Rd,Tallahassee,Florida (FL),32311,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
68,0.36507099866867065,347,IRMA,687,Fort McCoy School,,,,3527328181,,,,,,29.384868,-81.97075,"16160 NE Hwy 315, Fort McCoy, FL 32134, USA",Fort McCoy,Florida,32134,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
56,0.32635623961687088,349,IRMA,255,Fort Pierce Central High School,,,,7724604357,,,,,,27.391096,-80.350657,"4101 S 25th St, Fort Pierce, FL 34981",Fort Pierce,,34981,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
71,0.99219,352,IRMA,614,Fort White High School,,,,3864975952,,,,,,29.9306791,-82.7115083,"17828 FL-47, Fort White, FL 32038, USA",Fort White,,32038,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
37,0.30704109867413842,354,IRMA,907,Fox Chapel Middle School,,,,3527544083,,,,,,28.51067,-82.564809,"9412 Fox Chapel Ln, Spring Hill, FL 34606, USA",Spring Hill,,34606,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
71,0.99219,367,IRMA,580,Ft. White High School,,,,3864975952,,,,,,29.931209,-82.711605,17828 FL-47,Fort White,Florida,32038,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
32,0.29711695180998909,368,IRMA,450,G Holmes Braddock Senior High,,,,3054685900,,,,,,25.7326198,-80.4297906,"3601 Southwest 147th Avenue, Miami, FL, United States",Miami,Florida,33185,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
14,0.4044649600982666,377,IRMA,157,Geneva Elementary,,,,4076655102,,,,,,28.739505,-81.1167397,275 1st St,Geneva,,32732,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
30,0.43525559455156326,380,IRMA,451,Georgia Jones Middle School,,,,3054685900,,,,,,25.8176448,-80.2185119,1331 NW 46th St,Miami,Florida,33142,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
48,0.48542614115609062,398,IRMA,405,Greco Middle School,,,,8132747700,,,,,,28.052434,-82.375522,"6925 E Fowler Ave, Tampa, FL 33617",Tampa,,33617,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
12,0.9625074565410614,404,IRMA,148,Hagerty High School,,,,4076655102,,,,,,28.6255124,-81.1805547,3225 Lockwood Blvd,Oviedo,,32765,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
25,0.97069400548934937,405,IRMA,852,Haines City High School,,,,badphone,,,,,,28.0996835,-81.6082657,"2800 Hornet Dr, Haines City, FL 33844, USA",Haines City,,33844,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
30,0.47926860302686691,409,IRMA,452,Hammocks Middle School,,,,3054685900,,,,,,25.674481,-80.441849,"9889 Hammocks Boulevard, Miami, FL, United States",Miami,Florida,33196,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
38,0.971898,418,IRMA,983,Healing Clinic Ministry,,,,badphone,,,,,,32.1601457,-81.9051823,"23 S Newton St, Claxton, GA 30417, USA",Claxton,,30417,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
36,0.96727034449577332,424,IRMA,670,Hernando High School Building 25,,,,3527544083,,,,,,28.5634917,-82.3837743,"700 Bell Ave, Brooksville, FL 34601, USA",Brooksville,Florida,34601,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
32,0.16326186060905457,426,IRMA,453,Hialeah Gardens Middle School,,,,3054685900,,,,,,25.8802036,-80.3479421,"11690 Northwest 92 Avenue, Hialeah Gardens, Miami-Dade County, FL, United States",Hialeah Gardens,Florida,33018,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
32,0.41987961530685425,427,IRMA,454,Hialeah Gardens Senior High,,,,3054685900,,,,,,25.8798001,-80.3532702,"11700 Hialeah Gardens Blvd, Hialeah Gardens, FL, United States",Hialeah Gardens,Florida,33018,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
32,0.42964946561389494,428,IRMA,455,Hialeah Miami Lakes Senior High,,,,3054685900,,,,,,25.8950887,-80.3066324,"7977 West 12th Avenue, Hialeah, FL, United States",Hialeah,Florida,33014,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
29,0.97174403071403503,429,IRMA,456,Hialeah Middle School,,,,3054685900,,,,,,25.8776133,-80.2682137,"6027 E 7th Ave, Hialeah, FL, United States",Hialeah,Florida,33013,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
