Source,organization_id,organization_name,organization_alternate_name,organization_description,organization_email,organization_phone,organization_url,organization_tax_status,organization_tax_id,organization_year_incorporated,organization_legal_status,organization_latitude,organization_longitude,organization_street,organization_city,organization_state,organization_zip,organization_county,service_id,service_type,service_subtype,service_facility_usage_subcode,program_id,service_name,service_alternate_name,service_description,service_url,service_email,service_phone,service_status,service_interpretation_services,service_application_process,service_wait_time,service_fees,service_accreditations,service_licenses,taxonomy_ids,service_latitude,service_longitude,service_street,service_city,service_state,service_zip,service_county
IRMA,85,Highlands News-Sun Center - Fair Grounds,,,,8633822255,,,,,,27.4879235,-81.4366969,781 Magnolia Ave,Sebring,,33870,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,695,Hillard Elementary School,,,,badphone,,,,,,30.6939765,-81.9317865,"27568 Ohio St, Hilliard, FL 32046, USA",Hilliard,Florida,32046,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,696,"Hilliard Middle - Senior High School (special needs, pet friendly)",,,,badphone,,,,,,30.687846,-81.9266103,"1 Flashes Ave, Hilliard, FL 32046, USA",Hilliard,Florida,32046,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1170,Hillsborough Community College,,,,8132537863,,,,,,27.8869697,-82.3111912,"6437 Watson Rd, Riverview, FL 33578, USA",Riverview,,33578,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,275,Hilltop Elementary School,,,,8637732750,,,,,,27.5863778,-81.8202064,"2401 U.S. 17, Wauchula, FL, United States",Wauchula,,33873,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,44,Hinson Middle School,,,,3862584682,,,,,,29.2407556,-81.0924354,"1860 N Clyde Morris Blvd, Daytona Beach FL 32117",Daytona Beach,,32117,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,963,Holt Baptist Church,,,,badphone,,,,,,31.593868,-83.150476,"129 Holt Rd, Wray, GA 31798, USA",Wray,,31798,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,496,Holt Elementary,,,,2053422650,,,,,,33.2266559,-87.4826181,"1001 Crescent Ridge Road Northeast, Tuscaloosa, AL, United States",Tuscaloosa,Alabama,35404,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,946,Holy Nation Abbeville,,,,2293131559,,,,,,31.9795281,-83.3054598,"169 Airport Rd, Abbeville, GA 31001, USA",Abbeville,,31001,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1208,Home Family Life Church,,,,4789320050,,,,,,32.996287,-83.557664,"4274 Gray Hwy, Gray, GA 31032, USA",Gray,,31032,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,746,Hope Baptist Church,,,,3524734188,,,,,,29.8395509,-82.0661021,"3900 FL-100, Starke, FL 32091, USA",Starke,,32091,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,143,Horizon Elementary School,,,,3863226150,,,,,,29.119544,-81.038363,4751 Hidden Lake Dr,Port Orange,,32129,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,552,Horizon Elementary School,,,,8634193430,,,,,,28.1668699,-81.6294796,"1700 Forest Lake Dr, Davenport, FL 33837, USA",Davenport,,33837,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,832,Horizon Middle School,,,,4077420000,,,,,,28.243651,-81.464685,"2020 Ham Brown Rd, Kissimmee, FL 34746, USA",Kissimmee,,34746,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,985,Hosford Elementary Junior High School ,,,,8506432339,,,,,,30.3893404,-84.7984483,"16827 FL-65, Hosford, FL 32334, USA",Hosford,,32334,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,784,Houston County Farm Center,,,,3347925730,,,,,,31.1933104,-85.3731847,"1701 E Cottonwood Rd, Dothan, AL 36301, USA",Dothan,,36301,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,458,Hubert O. Sibley K-8 Academy,,,,3054685900,,,,,,25.8806871,-80.2036212,"255 Northwest 115th Street, Miami, FL, United States",Miami,Florida,33168,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1032,Hunter Kinard Tyler High School,,,,8032634441,,,,,,33.4759806,-81.1873354,"7066 Norway Rd, Neeses, SC 29107, USA",Neeses,,29107,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1022,Hunter's Creek Middle School,,,,badphone,,,,,,28.367851,-81.43514,"13400 Town Loop Blvd, Orlando, FL 32837, USA",Orlando,,32837,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1213,Hyde Park Presbyterian Church,,,,8132530069,,,,,,27.9376789,-82.4733621,"1309 W Swann Ave, Tampa, FL 33606, USA",Tampa,,33606,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,370,Immokalee High School,,,,2393771800,,,,,,26.42438,-81.422827,"701 Immokalee Drive, Immokalee, FL, United States",Immokalee,Florida,34142,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,493,Immokalee Middle School ,,,,2392528444,,,,,,26.4238774,-81.4270362,"401 North 9th Street, Immokalee, FL, United States",Immokalee,Florida,34142,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,49,Imperial Estates Elementary School,,,,badphone,,,,,,28.541544,-80.81216,900 Imperial Estates Lane,Titusville,,32780,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1,Independence Middle School,,,,5617997500,,,,,,26.898387,-80.1216929,"4001 Greenway Drive, Jupiter, FL, United States",Jupiter,Florida,33458,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,974,Independent Street Church of God,,,,badphone,,,,,,30.9076958,-84.5713927,"205 Independent St, Bainbridge, GA 39817, USA",Bainbridge,,39817,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1140,Indian Ridge Middle School,,,,7543233300,,,,,,26.103521,-80.283958,"1355 S Nob Hill Rd, Davie, FL 33324, USA",Davie,,33324,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,112,Indian River Academy,,,,7725643390,,,,,,27.6422054,-80.406741,"Vero Beach Ave, Vero Beach, FL 32960, USA",Vero Beach,,32960,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,66,Indiantown Middle School,,,,badphone,,,,,,27.021734,-80.4774707,"16303 SW Farm Rd Indiantown, FL 34956",Indiantown,,34956,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,712,Interlachen Elementary School,,,,3866842130,,,,,,29.607801,-81.887704,"251 County Rd 315, Interlachen, FL 32148, USA",Interlachen,,32148,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1061,Iron City Baptist Church,,,,badphone,,,,,,31.0150313,-84.8089266,"186 Williams St NE, Iron City, GA 39859, USA",Iron City,,39859,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,263,Island Coast High School,,,,2394580362,,,,,,26.726902,-81.9323927,"2125 De Navarra Pkwy, Cape Coral, FL 33909",Cape Coral,,33909,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,823,J.M. Alexander Middle School,,,,badphone,,,,,,35.3761224,-80.8382067,"12010 Hambright Rd, Huntersville, NC 28078, USA",Huntersville,,28078,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,65,JD Parker Elementary School,,,,badphone,,,,,,27.1895505,-80.2381882,"1010 SE 10th St Stuart, FL 34996",Stuart,,50250,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,317,Jamerson Elementary School,,,,7275521703,,,,,,27.7581903,-82.6842746,1200 37th St. S.,Saint Petersburg,,33711,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,1085,James Floyd State Park,,,,7068570826,,,,,,34.4444021,-85.3317638,"2800 Sloppy Floyd Lake Rd, Summerville, GA 30747, USA",Summerville,,30747,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,309,James Sanderlin PK-8,,,,7275521700,,,,,,27.7471984,-82.6679953,2350 22 Ave. S.,Saint Petersburg,,33712,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,254,James W. Mitchell High School ,,,,7277749200,,,,,,28.2003277,-82.6666225,2323 Little Rd. ,Trinity,,34655,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
IRMA,964,Jefferson County Recreation Department Gym,,,,badphone,,,,,,32.9952839,-82.3869695,"1377 GA-17, Louisville, GA 30434, USA",Louisville,,30434,,,,,,,shelters,,,,,,,,,,,,,,,,,,,,
